问题,业务员,趟数,送货点,重量kg,时间h,路程km,费用元
Q1-6h,1,1,30:29:28:23:14,24.5,4.83,100.0,
Q1-6h,2,2,26:27:6:11:12:3,47.8,5.88,122.0,
Q1-6h,3,2,21:22:10:9:15:8:13:7:5,44.1,5.82,108.0,
Q1-6h,4,2,24:25:19:4:2:1,46.7,4.6,90.0,
Q1-6h,5,1,18:16:20:17,21.4,2.99,58.0,
Q2-费用最省,1,1,30:29:20:6,19.9,4.5,,2029.7
Q2-费用最省,2,1,26:14:28:5,24.3,4.33,,2429.8
Q2-费用最省,3,2,23:15:13:7:4:8:12:3,45.3,6.0,,2576.8
Q2-费用最省,4,2,24:25:19:18:9,33.9,6.0,,3046.6
Q2-费用最省,5,2,1:11:27:16:17:2,41.6,5.83,,2460.2
Q2-费用最省,6,1,21:22:10,19.5,2.75,,1257.6
Q3-8h,1,2,30:29:28:23:14:18:16:20:17,,7.82,478.0,
Q3-8h,2,2,26:27:6:21:22:10:9:15,,6.85,478.0,
Q3-8h,3,3,24:25:19:8:13:7:5:4:2:1,,7.11,478.0,
Q3-8h,4,1,11:12:3,,2.34,478.0,
